VENDOR DESCRIPTION,VENDOR ARTICLE NUMBER,IMPA,PRICE
"Coupler, quick-connect 400SH R-1/2"" - stainless steel ",4601,351224,28.3
"Coupler, quick-connect 20 PH 1/4"" - steel ",4603,351231,1.26
"Coupler, quick-connect 400PH R-1/2"" - stainless steel ",4602,351254,6.95
"Coupler, quick-connect 20 SM R-1/4"" - steel ",4613,351302,4.4
"Coupler, quick-connect 20 PM R-1/4"" - steel ",4620,351332,1.75
"Coupler, quick-connect 40 SF  Rc-1/2"" - steel ",4623,351403,3.69
"Coupler, quick-connect 40 PF  Rc-1/2"" - steel ",4626,351433,1.11
"Marine clock, radio room quartz - dial 130 mm. - brass ",486,370201,93.75
"BARIGO 611MS marine clock, quartz, dial 130 mm. - brass ",480,370204,63.75
"Marine clock, quartz, dial 200 mm. - brass ",481,370204,96.75
"Marine clock, quartz, dial 130 mm. - brass ",480,370204,51.38
BARIGO marine chronometer in polished wooden case 155 x 155 x 102 mm. ,393,370207,206.25
"Stopwatch, analogue, 1/10"" ",377,370212,55.13
"Stopwatch, digital, 1/100 sec. ",391,370213,6.9
"Planimeter, digital ",450,370231,750
"BARIGO clinometer, dial 130 mm. brass range 45-0-45 deg. ",496,370241,73.88
"Clinometer, tube type, range 5-0-5 deg. & 45-0-45 deg. - Size 110 x 82 mm. ",488,370242,13.35
"Marine aneroid barometer, dial 125 mm. - brass ",493,370246,63.75
"BARIGO 1500MS aneroid barometer, dial 150 mm. with certificate ",489,370246,637.5
"Marine aneroid barometer, dial 95 mm. - brass ",493,370246,48.75
"TFA marine aneroid barometer, dial 140 mm. - brass ",00493B,370246,48.75
"Marine aneroid barometer, dial 200 mm. - brass ",3069,370247,237
"ZEAL wet and dry bulb thermometer, range -5/+50ºC/F ",471,370251,29.78
"BRANNAN wet and dry bulb thermometer, range -5/+50ºC/F ",469,370251,12
"Wet and dry bulb thermometer, range -5/+50ºC/F ",471,370251,9
"BARIGO thermo/hygrometer, dial 100 mm. - brass ",494,370256,42.3
"Thermo/hygrometer, wall mount, dial 100 mm. ",185,370256,7.05
"Thermo/hygrometer, digital, pen type, range 0-100% RH / -20/+60ºC ",3008,370258,45
"Thermo/hygrometer, digital, pen type, range 0-100% RH / -20/+60ºC ",03008_S,370258,45
"Thermo/hygrometer, digital, pocketable type, range 0-100% RH / -20/+60ºC ",3009,370259,45
"ZEAL psychrometer, whirling type, range -5/+50ºC. ",470,370261,37.13
"Psychrometer, whirling type, range -5/+50ºC. ",470,370261,31.5
"DEUMO WP4as hand anemometer, range up to 35 mtr/sec. ",495,370271,138.75
"Handanemometer, digital with integrated vane, range 0.4-30 mtr/sec. ",3315,370273,43.88
"Handanemometer/thermometer, digital with remote vane, range 0.4-30 mtr/sec. - 0-60ºC. ",370,370274,46.88
BARIGO 2018 marine barograph in wooden casing - quartz ,456,370286,648
"BARIGO recording paper size 56 x 235 mm. 1 year - 53 sheets, for marine barograph ",191,370287,20.63
Azimuth circle ID 247 mm. - OD 260 mm. for repeater compass ,3070,370321,695
