VENDOR DESCRIPTION,VENDOR ARTICLE NUMBER,IMPA,PRICE
"MANODRUCK pressure gauge 80 mm. round rim (B), range 0-60 bar, bottom connection 1/2"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080518GL1/2_S,653182,21.57
"MANODRUCK pressure gauge 75 mm. round rim (B), range 0-60 bar, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",075518GL1/2_S,653182,15.75
"Pressure gauge 75 mm. round rim (B), range 0-60 bar, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",075518B/GL1/2_S,653182,9.9
"MANODRUCK pressure gauge 100 mm. round rim (B), range 0-60 bar - Cl. 1.0, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100518GL,653183,25.5
"MANODRUCK pressure gauge 100 mm. round rim (B), range 0-60 bar - Cl. 1.6, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 113.53.100)",100518GL+,653183,17.63
"Pressure gauge 100 mm. round rim (B), range 0-60 bar - Cl. 1.6, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",100518B/GL,653183,10.19
"(alt. 213.50.063)""",063519A,653184,11.4
"(alt. 213.53.063)""",63519,653184,10.13
"Pressure gauge 63 mm. round rim (B), range 0-100 bar, bottom connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063519B,653184,4.5
"Pressure gauge 63 mm. round rim (B), range 0-160 bar, bottom connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063520B,653184,4.88
"MANODRUCK pressure gauge 80 mm. round rim (B), range 0-100 bar, bottom connection 1/2"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080519GL1/2_S,653185,21.57
"MANODRUCK pressure gauge 75 mm. round rim (B), range 0-100 bar, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",075519GL1/2_S,653185,15.75
"Pressure gauge 75 mm. round rim (B), range 0-100 bar, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",075519B/GL1/2_S,653185,9.9
"MANODRUCK pressure gauge 100 mm. round rim (B), range 0-100 bar - Cl. 1.0, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100519GL,653186,25.5
"MANODRUCK pressure gauge 100 mm. round rim (B), range 0-100 bar - Cl. 1.6, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 113.53.100)",100519GL+,653186,17.63
"Pressure gauge 100 mm. round rim (B), range 0-100 bar - Cl. 1.6, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",100519B/GL,653186,10.19
"(alt. 213.50.063)""",063520A,653187,11.4
"(alt. 213.53.063)""",63520,653187,10.13
"MANODRUCK pressure gauge 80 mm. round rim (B), range 0-160 bar, bottom connection 1/2"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080520GL1/2_S,653188,21.57
"MANODRUCK pressure gauge 75 mm. round rim (B), range 0-160 bar, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",075520GL1/2_S,653188,15.75
"Pressure gauge 75 mm. round rim (B), range 0-160 bar, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",075520B/GL1/2_S,653188,9.9
"MANODRUCK pressure gauge 100 mm. round rim (B), range 0-160 bar - Cl. 1.0, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100520GL,653189,25.5
"MANODRUCK pressure gauge 100 mm. round rim (B), range 0-160 bar - Cl. 1.6, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 113.53.100)",100520GL+,653189,17.63
"Pressure gauge 100 mm. round rim (B), range 0-160 bar - Cl. 1.6, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",100520B/GL,653189,12
"(alt. 213.50.063)""",063521A,653190,11.4
"(alt. 213.53.063)""",63521,653190,10.13
"Pressure gauge 63 mm. round rim (B), range 0-250 bar, bottom connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063521B,653190,4.88
"MANODRUCK pressure gauge 80 mm. round rim (B), range 0-250 bar, bottom connection 1/2"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080521GL1/2_S,653191,21.57
"MANODRUCK pressure gauge 75 mm. round rim (B), range 0-250 bar, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",075521GL1/2_S,653191,15.75
"Pressure gauge 75 mm. round rim (B), range 0-250 bar, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",075521B/GL1/2_S,653191,9.9
"MANODRUCK pressure gauge 100 mm. round rim (B), range 0-250 bar - Cl. 1.0, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100521GL,653192,25.5
"MANODRUCK pressure gauge 100 mm. round rim (B), range 0-250 bar - Cl. 1.6, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 113.53.100)",100521GL+,653192,17.63
"Pressure gauge 100 mm. round rim (B), range 0-250 bar - Cl. 1.6, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",100521B/GL,653192,12
"(alt. 213.50.063)""",063522A,653193,11.4
"(alt. 213.53.063)""",63522,653193,10.13
"Pressure gauge 63 mm. round rim (B), range 0-400 bar, bottom connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063522B,653193,4.88
"MANODRUCK pressure gauge 80 mm. round rim (B), range 0-400 bar, bottom connection 1/2"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080522GL1/2_S,653194,21.57
"MANODRUCK pressure gauge 75 mm. round rim (B), range 0-400 bar, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",075522GL1/2_S,653194,15.75
"Pressure gauge 75 mm. round rim (B), range 0-400 bar, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",075522B/GL1/2_S,653194,9.9
"MANODRUCK pressure gauge 100 mm. round rim (B), range 0-400 bar - Cl. 1.0, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100522GL,653195,25.5
"MANODRUCK pressure gauge 100 mm. round rim (B), range 0-400 bar - Cl. 1.6, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 113.53.100)",100522GL+,653195,17.63
"Pressure gauge 100 mm. round rim (B), range 0-400 bar - Cl. 1.6, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",100522B/GL,653195,12
"(alt. 213.50.063)""",063523A,653196,11.4
"(alt. 213.53.063)""",63523,653196,10.13
"stainless steel casing - brass internals""",063523B,653196,4.88
"MANODRUCK pressure gauge 80 mm. round rim (B), range 0-600 bar, bottom connection 1/2"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080523GL1/2_S,653197,21.57
"MANODRUCK pressure gauge 75 mm. round rim (B), range 0-600 bar, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",075523GL1/2_S,653197,15.75
"Pressure gauge 75 mm. round rim (B), range 0-600 bar, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",075523B/GL1/2_S,653197,9.9
"MANODRUCK pressure gauge 100 mm. round rim (B), range 0-600 bar - Cl. 1.0, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100523GL,653198,40.5
"MANODRUCK pressure gauge 100 mm. round rim (B), range 0-600 bar - Cl. 1.6, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 113.53.100)",100523GL+,653198,17.63
"Pressure gauge 100 mm. round rim (B), range 0-600 bar - Cl. 1.6, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",100523B/GL,653198,12
"(alt. 213.53.063)""",63705,653201,11.14
"stainless steel casing - brass internals""",075705GL1/2_S,653202,20.7
"stainless steel casing - brass internals""",100705GL_S,653203,18.98
"(alt. 213.53.063)""",63704,653204,11.14
"Compound gauge 63 mm. rimless (D), range -1/+3 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063704B,653204,5.1
"stainless steel casing - brass internals""",075704GL1/2_S,653205,20.7
"stainless steel casing - brass internals""",100704GL_S,653206,22.43
"(alt. 213.53.063)""",63703,653207,11.14
"Compound gauge 63 mm. rimless (D), range -1/+5 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063703B,653207,5.1
"stainless steel casing - brass internals""",075703GL1/2,653208,20.7
"stainless steel casing - brass internals""",075703GL1/2_S,653208,20.7
"stainless steel casing - brass internals""",100703GL_S,653209,22.43
"(alt. 213.53.063)""",63702,653210,11.14
"stainless steel casing - brass internals""",075702GL1/2_S,653211,20.7
"stainless steel casing - brass internals""",100702GL_S,653212,22.43
"(alt. 213.53.063)""",63712,653213,11.14
"stainless steel casing - brass internals""",075712GL1/2_S,653214,20.7
"(alt. 213.53.063)""",63713,653216,11.14
"Pressure gauge 63 mm. rimless (D), range 0-6 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063713B,653216,5.1
"stainless steel casing - brass internals""",075713GL1/2,653217,20.7
"stainless steel casing - brass internals""",075713GL1/2_S,653217,20.7
"stainless steel casing - brass internals""",100713GL_S,653218,22.43
"(alt. 213.53.063)""",63714,653219,11.14
"Pressure gauge 63 mm. rimless (D), range 0-10 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063714B,653219,5.1
"stainless steel casing - brass internals""",075714GL1/2,653220,20.7
"stainless steel casing - brass internals""",075714GL1/2_S,653220,20.7
"stainless steel casing - brass internals""",100714GL_S,653221,22.43
"(alt. 213.53.063)""",63715,653222,11.14
"(alt. 213.53.063)""",063715NPT,653222,11.14
"Pressure gauge 63 mm. rimless (D), range 0-16 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063715B,653222,5.1
"stainless steel casing - brass internals""",075715GL1/2,653223,20.7
"stainless steel casing - brass internals""",075715GL1/2_S,653223,20.7
"stainless steel casing - brass internals""",100715GL_S,653224,22.43
"(alt. 213.53.063)""",63716,653225,11.14
"stainless steel casing - brass internals""",075716GL1/2_S,653226,20.7
"(alt. 213.53.063)""",63717,653228,11.14
"stainless steel casing - brass internals""",075717GL1/2,653229,20.7
"stainless steel casing - brass internals""",075717GL1/2_S,653229,20.7
"(alt. 213.53.063)""",63718,653231,11.14
"stainless steel casing - brass internals""",075718GL1/2_S,653232,20.7
"(alt. 213.53.063)""",63719,653234,11.14
"stainless steel casing - brass internals""",075719GL1/2_S,653235,20.7
"(alt. 213.53.063)""",63720,653237,11.14
"Pressure gauge 63 mm. rimless (D), range 0-160 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063720B,653237,5.1
"stainless steel casing - brass internals""",075720GL1/2_S,653238,20.7
"stainless steel casing - brass internals""",100720GL_S,653239,18.98
"(alt. 213.53.063)""",63721,653240,11.14
"Pressure gauge 63 mm. rimless (D), range 0-250 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063721B,653240,5.1
"stainless steel casing - brass internals""",075721GL1/2_S,653241,20.7
"stainless steel casing - brass internals""",100721GL_S,653242,18.98
"stainless steel casing - brass internals""",100820GL_S,653242,18.98
"stainless steel casing - brass internals""",100821GL_S,653242,18.98
"(alt. 213.53.063)""",63722,653243,11.14
"Pressure gauge 63 mm. rimless (D), range 0-400 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063722B,653243,5.1
"stainless steel casing - brass internals""",075722GL1/2_S,653244,20.7
"stainless steel casing - brass internals""",100722GL_S,653245,18.98
"(alt. 213.53.063)""",63723,653246,11.14
"stainless steel casing - brass internals""",075723GL1/2_S,653247,20.7
"(alt. 213.53.063)""",63605,653251,11.97
"Compound gauge 63 mm. flush mounting (D), range -1/+1.5 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063605B,653251,6.75
"Compound gauge 63 mm. flush mounting (D), range -1/+1.5 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063605B_S,653251,6.75
"stainless steel casing - brass internals""",075605GL1/2_S,653252,22.13
"MANODRUCK compound gauge 100 mm. flush mounting (D), range -1/+1.5 bar, back connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100605GL,653253,34.5
"(alt. 213.53.063)""",63604,653254,11.97
"Compound gauge 63 mm. flush mounting (D), range -1/+3 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063604B,653254,6.75
"Compound gauge 63 mm. flush mounting (D), range -1/+3 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063604B_S,653254,6.75
"stainless steel casing - brass internals""",075604GL1/2_S,653255,22.13
"MANODRUCK compound gauge 100 mm. flush mounting (D), range -1/+3 bar, back connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100604GL,653256,34.5
"(alt. 213.53.063)""",63603,653257,11.97
"Compound gauge 63 mm. flush mounting (D), range -1/+5 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063603B,653257,6.75
"Compound gauge 63 mm. flush mounting (D), range -1/+5 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063603B_S,653257,6.75
"stainless steel casing - brass internals""",075603GL1/2_S,653258,22.13
"MANODRUCK compound gauge 100 mm. flush mounting (D), range -1/+5 bar, back connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100603GL,653259,34.5
"(alt. 213.53.063)""",63602,653260,11.97
"Compound gauge 63 mm. flush mounting (D), range -1/+9 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063602B,653260,6.75
"Compound gauge 63 mm. flush mounting (D), range -1/+9 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063602B_S,653260,6.75
"stainless steel casing - brass internals""",075602GL1/2_S,653261,22.13
"MANODRUCK compound gauge 100 mm. flush mounting (D), range -1/+9 bar, back connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100602GL,653262,34.5
"(alt. 213.53.063)""",63612,653263,11.97
"Pressure gauge 63 mm. flush mounting (D), range 0-4 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063612B,653263,6.75
"Pressure gauge 63 mm. flush mounting (D), range 0-4 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063612B_S,653263,6.75
"stainless steel casing - brass internals""",075612GL1/2_S,653264,22.13
"MANODRUCK pressure gauge 100 mm. flush mounting (D), range 0-4 bar, back connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100612GL,653265,34.5
"(alt. 213.53.063)""",63613,653266,11.97
"Pressure gauge 63 mm. flush mounting (D), range 0-6 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063613B,653266,6.75
"Pressure gauge 63 mm. flush mounting (D), range 0-6 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063613B_S,653266,6.75
"stainless steel casing - brass internals""",075613GL1/2_S,653267,22.13
"MANODRUCK pressure gauge 100 mm. flush mounting (D), range 0-6 bar, back connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100613GL,653268,34.5
"(alt. 213.53.063)""",63614,653269,11.97
"Pressure gauge 63 mm. flush mounting (D), range 0-10 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063614B,653269,6.75
"Pressure gauge 63 mm. flush mounting (D), range 0-10 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063614B_S,653269,6.75
"stainless steel casing - brass internals""",075614GL1/2_S,653270,22.13
"MANODRUCK pressure gauge 100 mm. flush mounting (D), range 0-10 bar, back connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100614GL,653271,34.5
"stainless steel casing - brass internals""",100813GL_S,653271,30
"complete stainless steel - brass internals""",100814GL_S,653271,56.5
"stainless steel casing - brass internals""",100815GL_S,653271,30
"(alt. 213.53.063)""",63615,653272,11.97
"Pressure gauge 63 mm. flush mounting (D), range 0-16 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063615B,653272,6.75
"Pressure gauge 63 mm. flush mounting (D), range 0-16 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063615B_S,653272,6.75
"stainless steel casing - brass internals""",075615GL1/2_S,653273,22.13
"MANODRUCK pressure gauge 100 mm. flush mounting (D), range 0-16 bar, back connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100615GL,653274,34.5
"(alt. 213.53.063)""",63616,653275,11.97
"Pressure gauge 63 mm. flush mounting (D), range 0-25 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063616B,653275,6.75
"Pressure gauge 63 mm. flush mounting (D), range 0-25 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063616B_S,653275,6.75
"stainless steel casing - brass internals""",075616GL1/2_S,653276,22.13
"MANODRUCK pressure gauge 100 mm. flush mounting (D), range 0-25 bar, back connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100616GL,653277,34.5
"(alt. 213.53.063)""",63617,653278,11.97
"Pressure gauge 63 mm. flush mounting (D), range 0-40 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063617B,653278,6.75
"Pressure gauge 63 mm. flush mounting (D), range 0-40 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063617B_S,653278,6.75
"stainless steel casing - brass internals""",075617GL1/2_S,653279,22.13
"MANODRUCK pressure gauge 100 mm. flush mounting (D), range 0-40 bar, back connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100617GL,653280,34.5
"(alt. 213.53.063)""",63618,653281,11.97
"Pressure gauge 63 mm. flush mounting (D), range 0-60 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063618B,653281,6.75
"Pressure gauge 63 mm. flush mounting (D), range 0-60 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063618B_S,653281,6.75
"stainless steel casing - brass internals""",075618GL1/2_S,653282,22.13
"MANODRUCK pressure gauge 100 mm. flush mounting (D), range 0-60 bar, back connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100618GL,653283,34.5
"(alt. 213.53.063)""",63619,653284,11.97
"Pressure gauge 63 mm. flush mounting (D), range 0-100 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063619B,653284,6.75
"Pressure gauge 63 mm. flush mounting (D), range 0-100 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063619B_S,653284,6.75
"stainless steel casing - brass internals""",075619GL1/2_S,653285,22.13
"MANODRUCK pressure gauge 100 mm. flush mounting (D), range 0-100 bar, back connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100619GL,653286,34.5
"(alt. 213.53.063)""",63620,653287,11.97
"Pressure gauge 63 mm. flush mounting (D), range 0-160 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063620B,653287,7.5
"Pressure gauge 63 mm. flush mounting (D), range 0-160 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063620B_S,653287,7.5
"stainless steel casing - brass internals""",075620GL1/2_S,653288,22.13
"MANODRUCK pressure gauge 100 mm. flush mounting (D), range 0-160 bar, back connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100620GL,653289,34.5
"(alt. 213.53.063)""",63621,653290,11.97
"Pressure gauge 63 mm. flush mounting (D), range 0-250 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063621B,653290,7.5
"Pressure gauge 63 mm. flush mounting (D), range 0-250 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063621B_S,653290,7.5
"(alt. 213.53.063)""",63622,653293,11.97
"Pressure gauge 63 mm. flush mounting (D), range 0-400 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063622B,653293,7.5
"Pressure gauge 63 mm. flush mounting (D), range 0-400 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063622B_S,653293,7.5
"(alt. 213.53.063)""",63623,653296,11.97
"Pressure gauge 63 mm. flush mounting (D), range 0-600 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063623B,653296,7.5
"Pressure gauge 63 mm. flush mounting (D), range 0-600 bar, back connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063623B_S,653296,7.5
"(alt. 213.53.063)""",063805_S,653301,13.13
"stainless steel case - brass internals""",075805GL_S,653302,23.73
"(alt. 213.53.063)""",063804_S,653304,13.13
"stainless steel case - brass internals""",075804GL_S,653305,23.73
"(alt. 213.53.063)""",63803,653307,13.13
"(alt. 213.53.063)""",063803_S,653307,13.13
"stainless steel case - brass internals""",075803GL_S,653308,23.73
"(alt. 213.53.063)""",063802_S,653310,13.13
"stainless steel case - brass internals""",075802GL_S,653311,23.73
"(alt. 213.53.063)""",63812,653313,13.13
"(alt. 213.53.063)""",063812_S,653313,13.13
"(alt. 213.53.063)""",63813,653316,13.13
"(alt. 213.53.063)""",063813_S,653316,13.13
"stainless steel case - brass internals""",075813GL_S,653317,23.73
"(alt. 213.53.063)""",63814,653319,13.13
"(alt. 213.53.063)""",063814_S,653319,13.13
"stainless steel case - brass internals""",075814GL_S,653320,23.73
"(alt. 213.53.063)""",63815,653322,13.13
"(alt. 213.53.063)""",063815_S,653322,13.13
"stainless steel case - brass internals""",075815GL_S,653323,23.73
"(alt. 213.53.063)""",63816,653325,13.13
"(alt. 213.53.063)""",063816_S,653325,13.13
"stainless steel case - brass internals""",075816GL_S,653326,23.73
"(alt. 213.53.063)""",063817_S,653328,13.13
"stainless steel case - brass internals""",075817GL_S,653329,23.73
"(alt. 213.53.063)""",063818_S,653331,13.13
"stainless steel case - brass internals""",075818GL_S,653332,23.73
"(alt. 213.53.063)""",063819_S,653334,13.13
"stainless steel case - brass internals""",075819GL_S,653335,23.73
"(alt. 213.53.063)""",063820_S,653337,13.13
"stainless steel case - brass internals""",075820GL_S,653338,23.73
"(alt. 213.53.063)""",063821_S,653340,13.13
"stainless steel case - brass internals""",075821GL_S,653341,23.73
"(alt. 213.53.063)""",063822_S,653343,13.13
"stainless steel case - brass internals""",075822GL_S,653344,23.73
"(alt. 213.53.063)""",063823_S,653346,13.13
"stainless steel case - brass internals""",075823GL_S,653347,23.73
"REXOTHERM RX3080 pyrometer, range 50-650ºC. stem L=100 x 12 mm. with 1/2"" BSP sliding nipple silicone filled",211401212_S,653401,84
"REXOTHERM RX3080 pyrometer, range 50-650ºC. stem L=100 x 12 mm. with 3/4"" BSP sliding nipple silicone filled",211401234_S,653402,84.38
"REXOTHERM RX3080 pyrometer, range 50-650ºC. stem L=150 x 12 mm. with 1/2"" BSP sliding nipple silicone filled",211901212_S,653403,84
"REXOTHERM RX3080 pyrometer, range 50-650ºC. stem L=150 x 12 mm. with 3/4"" BSP sliding nipple silicone filled",211901234_S,653404,84.38
"REXOTHERM RX3080 pyrometer, range 50-650ºC. stem L=200 x 12 mm. with 1/2"" BSP sliding nipple silicone filled",212401212_S,653405,84
"REXOTHERM RX3080 pyrometer, range 50-650ºC. stem L=200 x 12 mm. with 3/4"" BSP sliding nipple silicone filled",212401234_S,653406,84.38
"REXOTHERM RX3080 pyrometer, range 50-650ºC. stem L=250 x 12 mm. with 1/2"" BSP sliding nipple silicone filled",212901212_S,653407,84
"REXOTHERM RX3080 pyrometer, range 50-650ºC. stem L=250 x 12 mm. with 3/4"" BSP sliding nipple silicone filled",212901234_S,653408,84.38
"REXOTHERM RX3081 pyrometer, range 50-650ºC. stem L=100 x 12 mm. with 1/2"" BSP sliding nipple silicone filled",221551212_S,653415,84
"REXOTHERM RX3081 pyrometer, range 50-650ºC. stem L=100 x 12 mm. with 3/4"" BSP sliding nipple silicone filled",221551234_S,653416,84
"REXOTHERM RX3081 pyrometer, range 50-650ºC. stem L=200 x 12 mm. with 3/4"" BSP sliding nipple silicone filled",222401234_S,653420,84.38
"REXOTHERM RX3081 pyrometer, range 50-650ºC. stem L=240 x 12 mm. with 1/2"" BSP sliding nipple silicone filled",222901212_S,653420,84.38
"REXOTHERM RX3100 pyrometer, range 50-650ºC. stem L=100 x 12 mm. with 1/2"" BSP sliding nipple silicone filled",231401212_S,653431,89.25
"Dial thermometer 100 mm. vertical straight, range 50-650ºC. stem L=100 x 12 mm. with 1/2"" BSP sliding nipple - silicone filled",231401212+_S,653431,45
"Dial thermometer 100 mm. vertical straight, range 50-650ºC. stem L=100 x 12 mm. with 3/4"" BSP sliding nipple - silicone filled",231401234+_S,653431,45
"REXOTHERM RX3100 pyrometer, range 50-650ºC. stem L=100 x 12 mm. with 3/4"" BSP sliding nipple silicone filled",231401234_S,653432,89.63
"REXOTHERM RX3100 pyrometer, range 50-650ºC. stem L=150 x 12 mm. with 1/2"" BSP sliding nipple silicone filled",231901212_S,653433,89.25
"silicone filled""",231901212+_S,653433,45
"REXOTHERM RX3100 pyrometer, range 50-650ºC. stem L=150 x 12 mm. with 3/4"" BSP sliding nipple silicone filled",231901234_S,653434,89.63
"silicone filled""",231901234+_S,653434,45
"REXOTHERM RX3100 pyrometer, range 50-650ºC. stem L=200 x 12 mm. with 1/2"" BSP sliding nipple silicone filled",232401212_S,653435,89.25
"Dial thermometer 100 mm. vertical straight, range 50-650ºC. stem L=200 x 12 mm. with 1/2"" BSP sliding nipple - silicone filled",232401212+_S,653435,45
"REXOTHERM RX3100 pyrometer, range 50-650ºC. stem L=200 x 12 mm. with 3/4"" BSP sliding nipple silicone filled",232401234_S,653436,89.63
"Dial thermometer 100 mm. vertical straight, range 50-650ºC. stem L=200 x 12 mm. with 3/4"" BSP sliding nipple - silicone filled",232401234+_S,653436,45
"REXOTHERM RX3100 pyrometer, range 50-650ºC. stem L=250 x 12 mm. with 1/2"" BSP sliding nipple silicone filled",232901212_S,653437,89.25
"Dial thermometer 100 mm. vertical straight,, range 50-650ºC. stem L=250 x 12 mm. with 1/2"" BSP sliding nipple - silicone filled",232901212+_S,653437,45
"REXOTHERM RX3100 pyrometer, range 50-650ºC. stem L=250 x 12 mm. with 3/4"" BSP sliding nipple silicone filled",232901234_S,653438,89.63
"Dial thermometer 100 mm. vertical straight, range 50-650ºC. stem L=250 x 12 mm. with 3/4"" BSP sliding nipple - silicone filled",232901234+_S,653438,45
"REXOTHERM RX3100 pyrometer, range 50-650ºC. stem L=300 x 12 mm. with 1/2"" BSP sliding nipple silicone filled",233401212_S,653439,89.25
"silicone filled""",233401212+_S,653439,45
"REXOTHERM RX3100 pyrometer, range 50-650ºC. stem L=300 x 12 mm. with 3/4"" BSP sliding nipple silicone filled",233401234_S,653440,89.63
"silicone filled""",233401234+_S,653440,45
"REXOTHERM RX3100 pyrometer, range 50-650ºC. stem L=400 x 13 mm. with 1/2"" BSP sliding nipple silicone filled",234401312_S,653441,100.5
"REXOTHERM RX3100 pyrometer, range 50-650ºC. stem L=400 x 13 mm. with 3/4"" BSP sliding nipple silicone filled",234401334_S,653442,100.88
"REXOTHERM RX3081 pyrometer, range 50-650ºC. stem length 240 x 12 mm. silicone filled",2224012,653449,78.75
"REXOTHERM RX3085 100 mm. back flange, range 50-650ºC, L=250 x 12 mm. C=3 mtrs. - silicone filled",117,653506,101.25
"MANODRUCK compound gauge 75 mm. round rim (B), range -1/+5 bar, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",075503GL1/2_S,6543158,15.75
"Adaptor ring 1/8"" BSP female x 1/4"" BSP male - brass ",39985,732216,0.75
"Adaptor ring 1/4"" BSP female x 3/8"" BSP male - brass ",39992,732217,1.5
